departamento,provincia,distrito,ubigeo
PIURA,SULLANA,SULLANA,200601
PIURA,TALARA,EL ALTO,200702
PIURA,TALARA,LA BREA,200703
PIURA,TALARA,LOBITOS,200704
PIURA,TALARA,LOS ORGANOS,200705
PIURA,TALARA,MANCORA,200706
PIURA,TALARA,PARI�AS,200701
PUNO,CARABAYA,AYAPATA,210303
PUNO,CARABAYA,OLLACHEA,210308
PUNO,CARABAYA,SAN GABAN,210309
PUNO,SAN ANTONIO DE PUTINA,PUTINA,211001
PUNO,SANDIA,ALTO INAMBARI,211209
PUNO,SANDIA,SAN JUAN DEL ORO,211207
PUNO,SANDIA,SAN PEDRO DE PUTINA PUNCO,211210
PUNO,SANDIA,SANDIA,211201
SAN MARTIN,BELLAVISTA,ALTO BIAVO,220202
SAN MARTIN,BELLAVISTA,BAJO BIAVO,220203
SAN MARTIN,BELLAVISTA,BELLAVISTA,220201
SAN MARTIN,BELLAVISTA,HUALLAGA,220204
SAN MARTIN,BELLAVISTA,SAN PABLO,220205
SAN MARTIN,BELLAVISTA,SAN RAFAEL,220206
SAN MARTIN,EL DORADO,AGUA BLANCA,220302
SAN MARTIN,EL DORADO,SAN JOSE DE SISA,220301
SAN MARTIN,EL DORADO,SAN MARTIN,220303
SAN MARTIN,EL DORADO,SANTA ROSA,220304
SAN MARTIN,EL DORADO,SHATOJA,220305
SAN MARTIN,HUALLAGA,ALTO SAPOSOA,220402
SAN MARTIN,HUALLAGA,EL ESLABON,220403
SAN MARTIN,HUALLAGA,PISCOYACU,220404
SAN MARTIN,HUALLAGA,SACANCHE,220405
SAN MARTIN,HUALLAGA,SAPOSOA,220401
SAN MARTIN,HUALLAGA,TINGO DE SAPOSOA,220406
SAN MARTIN,LAMAS,ALONSO DE ALVARADO,220502
SAN MARTIN,LAMAS,BARRANQUITA,220503
SAN MARTIN,LAMAS,CAYNARACHI,220504
SAN MARTIN,LAMAS,CU�UMBUQUI,220505
SAN MARTIN,LAMAS,LAMAS,220501
SAN MARTIN,LAMAS,PINTO RECODO,220506
SAN MARTIN,LAMAS,RUMISAPA,220507
SAN MARTIN,LAMAS,SAN ROQUE DE CUMBAZA,220508
SAN MARTIN,LAMAS,SHANAO,220509
SAN MARTIN,LAMAS,TABALOSOS,220510
SAN MARTIN,LAMAS,ZAPATERO,220511
SAN MARTIN,MARISCAL CACERES,CAMPANILLA,220602
SAN MARTIN,MARISCAL CACERES,HUICUNGO,220603
SAN MARTIN,MARISCAL CACERES,JUANJUI,220601
SAN MARTIN,MARISCAL CACERES,PACHIZA,220604
SAN MARTIN,MARISCAL CACERES,PAJARILLO,220605
SAN MARTIN,MOYOBAMBA,CALZADA,220102
SAN MARTIN,MOYOBAMBA,HABANA,220103
SAN MARTIN,MOYOBAMBA,JEPELACIO,220104
SAN MARTIN,MOYOBAMBA,MOYOBAMBA,220101
SAN MARTIN,MOYOBAMBA,SORITOR,220105
SAN MARTIN,MOYOBAMBA,YANTALO,220106
SAN MARTIN,PICOTA,BUENOS AIRES,220702
SAN MARTIN,PICOTA,CASPIZAPA,220703
SAN MARTIN,PICOTA,PICOTA,220701
SAN MARTIN,PICOTA,PILLUANA,220704
SAN MARTIN,PICOTA,PUCACACA,220705
SAN MARTIN,PICOTA,SAN CRISTOBAL,220706
SAN MARTIN,PICOTA,SAN HILARION,220707
SAN MARTIN,PICOTA,SHAMBOYACU,220708
SAN MARTIN,PICOTA,TINGO DE PONASA,220709
SAN MARTIN,PICOTA,TRES UNIDOS,220710
SAN MARTIN,RIOJA,AWAJUN,220802
SAN MARTIN,RIOJA,ELIAS SOPLIN VARGAS,220803
SAN MARTIN,RIOJA,NUEVA CAJAMARCA,220804
SAN MARTIN,RIOJA,PARDO MIGUEL,220805
SAN MARTIN,RIOJA,POSIC,220806
SAN MARTIN,RIOJA,RIOJA,220801
SAN MARTIN,RIOJA,SAN FERNANDO,220807
SAN MARTIN,RIOJA,YORONGOS,220808
SAN MARTIN,RIOJA,YURACYACU,220809
SAN MARTIN,SAN MARTIN,ALBERTO LEVEAU,220902
SAN MARTIN,SAN MARTIN,CACATACHI,220903
SAN MARTIN,SAN MARTIN,CHAZUTA,220904
SAN MARTIN,SAN MARTIN,CHIPURANA,220905
SAN MARTIN,SAN MARTIN,EL PORVENIR,220906
SAN MARTIN,SAN MARTIN,HUIMBAYOC,220907
SAN MARTIN,SAN MARTIN,JUAN GUERRA,220908
SAN MARTIN,SAN MARTIN,LA BANDA DE SHILCAYO,220909
SAN MARTIN,SAN MARTIN,MORALES,220910
SAN MARTIN,SAN MARTIN,PAPAPLAYA,220911
SAN MARTIN,SAN MARTIN,SAN ANTONIO,220912
SAN MARTIN,SAN MARTIN,SAUCE,220913
SAN MARTIN,SAN MARTIN,SHAPAJA,220914
SAN MARTIN,SAN MARTIN,TARAPOTO,220901
SAN MARTIN,TOCACHE,NUEVO PROGRESO,221002
SAN MARTIN,TOCACHE,POLVORA,221003
SAN MARTIN,TOCACHE,SANTA LUCIA,221006
SAN MARTIN,TOCACHE,SHUNTE,221004
SAN MARTIN,TOCACHE,TOCACHE,221001
SAN MARTIN,TOCACHE,UCHIZA,221005
TUMBES,CONTRALMIRANTE VILLAR,CANOAS DE PUNTA SAL,240203
TUMBES,CONTRALMIRANTE VILLAR,CASITAS,240202
TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,240201
TUMBES,TUMBES,CORRALES,240102
TUMBES,TUMBES,LA CRUZ,240103
TUMBES,TUMBES,PAMPAS DE HOSPITAL,240104
TUMBES,TUMBES,SAN JACINTO,240105
TUMBES,TUMBES,SAN JUAN DE LA VIRGEN,240106
TUMBES,TUMBES,TUMBES,240101
TUMBES,ZARUMILLA,AGUAS VERDES,240302
TUMBES,ZARUMILLA,MATAPALO,240303
TUMBES,ZARUMILLA,PAPAYAL,240304
TUMBES,ZARUMILLA,ZARUMILLA,240301
UCAYALI,ATALAYA,RAIMONDI,250201
UCAYALI,ATALAYA,SEPAHUA,250202
UCAYALI,ATALAYA,TAHUANIA,250203
UCAYALI,ATALAYA,YURUA,250204
UCAYALI,CORONEL PORTILLO,CALLERIA,250101
UCAYALI,CORONEL PORTILLO,CAMPOVERDE,250102
UCAYALI,CORONEL PORTILLO,IPARIA,250103
UCAYALI,CORONEL PORTILLO,MANANTAY,250107
UCAYALI,CORONEL PORTILLO,MASISEA,250104
UCAYALI,CORONEL PORTILLO,NUEVA REQUENA,250106
UCAYALI,CORONEL PORTILLO,YARINACOCHA,250105
UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,250305
UCAYALI,PADRE ABAD,BOQUERON,250307
UCAYALI,PADRE ABAD,CURIMANA,250303
UCAYALI,PADRE ABAD,HUIPOCA,250306
UCAYALI,PADRE ABAD,IRAZOLA,250302
UCAYALI,PADRE ABAD,NESHUYA,250304
UCAYALI,PADRE ABAD,PADRE ABAD,250301
UCAYALI,PURUS,PURUS,250401
